Title,Release Year,Genre,IMDb Rating,Streaming Services,URL,Type
Oppenheimer,2023,"Drama, History",8.6,Jio Cinema,http://example.com/movie/1,Movie
Barbie,2023,"Comedy, Fantasy",7.5,Jio Cinema,http://example.com/movie/1,Movie
Killers of the Flower Moon,2023,"Crime, Drama, History",8.1,Apple TV Plus,http://example.com/movie/1,Movie
Past Lives,2023,"Drama, Romance",8.3,Lionsgate Play,http://example.com/movie/1,Movie
Spider-Man: Across the Spider-Verse,2023,"Animation, Action & Adventure, Science-Fiction",8.9,Netflix,http://example.com/movie/1,Movie
Godzilla Minus One,2023,"Action & Adventure, Science-Fiction, Horror",8.4,Netflix,http://example.com/movie/1,Movie
Dungeons & Dragons: Honor Among Thieves,2023,"Action & Adventure, Fantasy, Comedy",7.8,Jio Cinema,http://example.com/movie/1,Movie
Anatomy of a Fall,2023,"Crime, Drama, Mystery & Thriller",7.8,Amazon Prime Video,http://example.com/movie/1,Movie
Guardians of the Galaxy Vol. 3,2023,"Action & Adventure, Science-Fiction, Comedy",8.2,Hotstar,http://example.com/movie/1,Movie
John Wick: Chapter 4,2023,"Action & Adventure, Crime, Mystery & Thriller",8.1,Lionsgate Play,http://example.com/movie/1,Movie
The Holdovers,2023,"Comedy, Drama",8.0,Jio Cinema,http://example.com/movie/1,Movie
Mission: Impossible - Dead Reckoning Part One,2023,"Action & Adventure, Mystery & Thriller",7.9,Amazon Prime Video,http://example.com/movie/1,Movie
Poor Things,2023,"Drama, Romance, Science-Fiction",8.4,Hotstar,http://example.com/movie/1,Movie
The Killer,2023,"Action & Adventure, Crime, Drama",7.4,Netflix,http://example.com/movie/1,Movie
Creed III,2023,"Drama, Sport",7.3,Amazon Prime Video,http://example.com/movie/1,Movie
Air,2023,"Drama, Sport",7.5,Amazon Prime Video,http://example.com/movie/1,Movie
Asteroid City,2023,"Comedy, Drama, Romance",7.0,Jio Cinema,http://example.com/movie/1,Movie
BlackBerry,2023,"Comedy, Drama, History",7.5,Jio Cinema,http://example.com/movie/1,Movie
The Super Mario Bros. Movie,2023,"Animation, Kids & Family, Comedy",7.3,Netflix,http://example.com/movie/1,Movie
The Little Mermaid,2023,"Fantasy, Romance, Kids & Family",7.0,Hotstar,http://example.com/movie/1,Movie
Theater Camp,2023,"Comedy, Music & Musical",7.1,Amazon Prime Video,http://example.com/movie/1,Movie
Beau Is Afraid,2023,"Comedy, Drama, Horror",7.1,Lionsgate Play,http://example.com/movie/1,Movie
Talk to Me,2022,"Horror, Mystery & Thriller",7.4,Netflix,http://example.com/movie/1,Movie
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,"Animation, Action & Adventure, Comedy",7.5,Amazon Prime Video,http://example.com/movie/1,Movie
"Are You There God? It's Me, Margaret.",2023,"Comedy, Drama",7.6,Lionsgate Play,http://example.com/movie/1,Movie
The Iron Claw,2023,"Drama, Sport",8.1,Lionsgate Play,http://example.com/movie/1,Movie
The Creator,2023,"Action & Adventure, Drama, Science-Fiction",7.3,Hotstar,http://example.com/movie/1,Movie
Elemental,2023,"Animation, Comedy, Kids & Family",7.4,Hotstar,http://example.com/movie/1,Movie
Jawan,2023,"Action & Adventure, Crime, Drama",7.6,Netflix,http://example.com/movie/1,Movie
Animal,2023,"Action & Adventure, Crime, Drama",7.1,Netflix,http://example.com/movie/1,Movie
12th Fail,2023,Drama,9.2,Hotstar,http://example.com/movie/1,Movie
Leo,2023,"Action & Adventure, Crime",7.6,Netflix,http://example.com/movie/1,Movie
Jailer,2023,"Action & Adventure, Comedy, Crime",7.4,"Amazon Prime Video, Sun Nxt",http://example.com/movie/1,Movie
The Bear,2022,"Comedy, Drama",8.5,Hotstar,http://example.com/show/1,TV Show
The Last of Us,2023,"Action & Adventure, Drama, Horror",8.8,Jio Cinema,http://example.com/show/1,TV Show
Jury Duty,2023,Comedy,8.3,Amazon Prime Video,http://example.com/show/1,TV Show
Beef,2023,"Comedy, Drama",8.1,Netflix,http://example.com/show/1,TV Show
Shrinking,2023,"Comedy, Drama",8.0,Apple TV Plus,http://example.com/show/1,TV Show
Silo,2023,"Drama, Science-Fiction, Mystery & Thriller",8.2,Apple TV Plus,http://example.com/show/1,TV Show
Poker Face,2023,"Comedy, Crime, Mystery & Thriller",8.1,Jio Cinema,http://example.com/show/1,TV Show
The Diplomat,2023,"Drama, Mystery & Thriller",7.8,Netflix,http://example.com/show/1,TV Show
Gen V,2023,"Action & Adventure, Comedy, Drama",8.2,Amazon Prime Video,http://example.com/show/1,TV Show
Ahsoka,2023,"Action & Adventure, Science-Fiction",8.0,Hotstar,http://example.com/show/1,TV Show
One Piece,2023,"Action & Adventure, Comedy, Fantasy",8.4,Netflix,http://example.com/show/1,TV Show
The Fall of the House of Usher,2023,"Drama, Horror",8.0,Netflix,http://example.com/show/1,TV Show
Blue Eye Samurai,2023,"Animation, Action & Adventure, Drama",8.8,Netflix,http://example.com/show/1,TV Show
Fellow Travelers,2023,"Drama, Romance, Mystery & Thriller",7.8,Jio Cinema,http://example.com/show/1,TV Show
